Título,Autor,Avaliação do Usuário,Avaliações,Preço,Ano,Gênero,Preço_convertido
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11.0,2015,Ficção,$ 11.00
The Wonky Donkey,Craig Smith,4.8,30183,4.0,2018,Ficção,$ 4.00
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16.0,2010,Não Ficção,$ 16.00
To Kill a Mockingbird,Harper Lee,4.8,26234,0.0,2013,Ficção,$ 0.00
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8.0,2015,Não Ficção,$ 8.00
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12.0,2014,Não Ficção,$ 12.00
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6.0,2018,Não Ficção,$ 6.00
Wonder,R. J. Palacio,4.8,21625,9.0,2013,Ficção,$ 9.00
Love You Forever,Robert Munsch,4.8,18613,5.0,2014,Ficção,$ 5.00
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27.0,2017,Ficção,$ 27.00
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30.0,2011,Ficção,$ 30.00
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4.0,2017,Ficção,$ 4.00
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18.0,2019,Não Ficção,$ 18.00
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.0,2015,Ficção,$ 4.00
The Help,Kathryn Stockett,4.8,13871,6.0,2009,Ficção,$ 6.00
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14.0,2016,Não Ficção,$ 14.00
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52.0,2016,Ficção,$ 52.00
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12.0,2019,Não Ficção,$ 12.00
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15.0,2015,Não Ficção,$ 15.00
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5.0,2015,Ficção,$ 5.00
Where the Wild Things Are,Maurice Sendak,4.8,9967,13.0,2009,Ficção,$ 13.00
The Hate U Give,Angie Thomas,4.8,9947,11.0,2018,Ficção,$ 11.00
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16.0,2018,Não Ficção,$ 16.00
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5.0,2017,Ficção,$ 5.00
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7.0,2019,Não Ficção,$ 7.00
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9.0,2011,Ficção,$ 9.00
Alexander Hamilton,Ron Chernow,4.8,9198,13.0,2016,Não Ficção,$ 13.00
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9.0,2013,Ficção,$ 9.00
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6.0,2016,Não Ficção,$ 6.00
Goodnight Moon,Margaret Wise Brown,4.8,8837,5.0,2017,Ficção,$ 5.00
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13.0,2019,Ficção,$ 13.00
The Book with No Pictures,B. J. Novak,4.8,8081,8.0,2014,Ficção,$ 8.00
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11.0,2019,Não Ficção,$ 11.00
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20.0,2018,Não Ficção,$ 20.00
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12.0,2019,Não Ficção,$ 12.00
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12.0,2019,Não Ficção,$ 12.00
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14.0,2013,Ficção,$ 14.00
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0.0,2013,Ficção,$ 0.00
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11.0,2014,Ficção,$ 11.00
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22.0,2014,Ficção,$ 22.00
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10.0,2012,Ficção,$ 10.00
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7.0,2015,Ficção,$ 7.00
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4.0,2019,Não Ficção,$ 4.00
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8.0,2018,Ficção,$ 8.00
The Getaway,Jeff Kinney,4.8,5836,0.0,2017,Ficção,$ 0.00
Guts,Raina Telgemeier,4.8,5476,7.0,2019,Não Ficção,$ 7.00
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16.0,2019,Não Ficção,$ 16.00
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5.0,2016,Ficção,$ 5.00
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20.0,2016,Ficção,$ 20.00
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4.0,2017,Ficção,$ 4.00
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7.0,2009,Ficção,$ 7.00
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14.0,2010,Ficção,$ 14.00
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0.0,2011,Ficção,$ 0.00
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10.0,2011,Ficção,$ 10.00
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11.0,2013,Não Ficção,$ 11.00
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4.0,2015,Não Ficção,$ 4.00
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16.0,2018,Não Ficção,$ 16.00
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5.0,2015,Não Ficção,$ 5.00
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15.0,2009,Ficção,$ 15.00
Watchmen,Alan Moore,4.8,3829,42.0,2009,Ficção,$ 42.00
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15.0,2009,Não Ficção,$ 15.00
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12.0,2010,Ficção,$ 12.00
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22.0,2018,Não Ficção,$ 22.00
Humans of New York,Brandon Stanton,4.8,3490,15.0,2013,Não Ficção,$ 15.00
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14.0,2015,Não Ficção,$ 14.00
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12.0,2009,Ficção,$ 12.00
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27.0,2009,Não Ficção,$ 27.00
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21.0,2012,Não Ficção,$ 21.00
The Constitution of the United States,Delegates of the Constitutional,4.8,2774,0.0,2016,Não Ficção,$ 0.00
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17.0,2013,Não Ficção,$ 17.00
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8.0,2018,Não Ficção,$ 8.00
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21.0,2010,Ficção,$ 21.00
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12.0,2012,Ficção,$ 12.00
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4.0,2009,Não Ficção,$ 4.00
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12.0,2009,Não Ficção,$ 12.00
The Love Dare,Stephen Kendrick,4.8,1655,13.0,2009,Não Ficção,$ 13.00
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10.0,2013,Não Ficção,$ 10.00
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24.0,2012,Não Ficção,$ 24.00
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2.0,2010,Ficção,$ 2.00
The Fault in Our Stars,John Green,4.7,50482,13.0,2012,Ficção,$ 13.00
The Martian,Andy Weir,4.7,39459,9.0,2015,Ficção,$ 9.00
The Alchemist,Paulo Coelho,4.7,35799,39.0,2014,Ficção,$ 39.00
The Hunger Games,Suzanne Collins,4.7,32122,14.0,2010,Ficção,$ 14.00
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8.0,2011,Ficção,$ 8.00
Educated: A Memoir,Tara Westover,4.7,28729,15.0,2018,Não Ficção,$ 15.00
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.0,2014,Não Ficção,$ 11.00
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6.0,2013,Não Ficção,$ 6.00
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11.0,2010,Ficção,$ 11.00
1984 (Signet Classics),George Orwell,4.7,21424,6.0,2017,Ficção,$ 6.00
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30.0,2014,Ficção,$ 30.00
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15.0,2017,Ficção,$ 15.00
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15.0,2018,Não Ficção,$ 15.00
Milk and Honey,Rupi Kaur,4.7,17739,8.0,2016,Não Ficção,$ 8.00
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8.0,2016,Não Ficção,$ 8.00
First 100 Words,Roger Priddy,4.7,17323,4.0,2014,Não Ficção,$ 4.00
Doctor Sleep: A Novel,Stephen King,4.7,15845,13.0,2013,Ficção,$ 13.00
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10.0,2011,Não Ficção,$ 10.00
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8.0,2016,Não Ficção,$ 8.00
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10.0,2010,Ficção,$ 10.00
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9.0,2009,Ficção,$ 9.00
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,10.0,2019,Não Ficção,$ 10.00
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5.0,2018,Não Ficção,$ 5.00
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11.0,2017,Não Ficção,$ 11.00
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13.0,2015,Não Ficção,$ 13.00
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9.0,2017,Não Ficção,$ 9.00
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9.0,2015,Não Ficção,$ 9.00
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10.0,2011,Não Ficção,$ 10.00
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17.0,2014,Não Ficção,$ 17.00
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13.0,2010,Não Ficção,$ 13.00
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,10.0,2019,Não Ficção,$ 10.00
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10.0,2009,Ficção,$ 10.00
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14.0,2010,Ficção,$ 14.00
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9.0,2010,Ficção,$ 9.00
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16.0,2009,Ficção,$ 16.00
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15.0,2013,Não Ficção,$ 15.00
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7.0,2012,Ficção,$ 7.00
The Wright Brothers,David McCullough,4.7,6169,16.0,2015,Não Ficção,$ 16.00
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3.0,2018,Não Ficção,$ 3.00
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7.0,2009,Ficção,$ 7.00
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18.0,2009,Ficção,$ 18.00
The Sun and Her Flowers,Rupi Kaur,4.7,5487,9.0,2017,Não Ficção,$ 9.00
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9.0,2015,Não Ficção,$ 9.00
Night (Night),Elie Wiesel,4.7,5178,9.0,2016,Não Ficção,$ 9.00
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17.0,2013,Não Ficção,$ 17.00
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16.0,2016,Não Ficção,$ 16.00
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21.0,2011,Não Ficção,$ 21.00
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9.0,2016,Não Ficção,$ 9.00
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15.0,2016,Ficção,$ 15.00
The Last Lecture,Randy Pausch,4.7,4028,9.0,2009,Não Ficção,$ 9.00
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82.0,2009,Ficção,$ 82.00
Born to Run,Bruce Springsteen,4.7,3729,18.0,2016,Não Ficção,$ 18.00
Frozen (Little Golden Book),RH Disney,4.7,3642,0.0,2014,Ficção,$ 0.00
Harry Potter Coloring Book,Scholastic,4.7,3564,9.0,2015,Não Ficção,$ 9.00
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17.0,2010,Não Ficção,$ 17.00
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9.0,2016,Ficção,$ 9.00
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28.0,2010,Não Ficção,$ 28.00
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9.0,2010,Não Ficção,$ 9.00
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14.0,2015,Ficção,$ 14.00
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14.0,2009,Não Ficção,$ 14.00
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10.0,2011,Ficção,$ 10.00
Sh*t My Dad Says,Justin Halpern,4.7,1265,11.0,2010,Não Ficção,$ 11.00
Sookie Stackhouse,Charlaine Harris,4.7,973,25.0,2009,Ficção,$ 25.00
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53.0,2009,Não Ficção,$ 53.00
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21.0,2010,Não Ficção,$ 21.00
All the Light We Cannot See,Anthony Doerr,4.6,36348,14.0,2014,Ficção,$ 14.00
Divergent,Veronica Roth,4.6,27098,15.0,2013,Ficção,$ 15.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15.0,2017,Não Ficção,$ 15.00
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8.0,2016,Ficção,$ 8.00
The Book Thief,Markus Zusak,4.6,23148,6.0,2013,Ficção,$ 6.00
Ready Player One: A Novel,Ernest Cline,4.6,22536,12.0,2017,Ficção,$ 12.00
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12.0,2018,Não Ficção,$ 12.00
Orphan Train,Christina Baker Kline,4.6,21930,11.0,2014,Ficção,$ 11.00
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8.0,2009,Ficção,$ 8.00
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9.0,2015,Não Ficção,$ 9.00
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23.0,2014,Não Ficção,$ 23.00
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13.0,2012,Ficção,$ 13.00
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19.0,2011,Não Ficção,$ 19.00
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6.0,2014,Não Ficção,$ 6.00
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21.0,2012,Não Ficção,$ 21.00
Fahrenheit 451,Ray Bradbury,4.6,10721,8.0,2016,Ficção,$ 8.00
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20.0,2009,Não Ficção,$ 20.00
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4.0,2016,Não Ficção,$ 4.00
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6.0,2019,Não Ficção,$ 6.00
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20.0,2012,Não Ficção,$ 20.00
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13.0,2009,Ficção,$ 13.00
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24.0,2009,Não Ficção,$ 24.00
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25.0,2012,Não Ficção,$ 25.00
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17.0,2017,Não Ficção,$ 17.00
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14.0,2012,Não Ficção,$ 14.00
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5.0,2019,Não Ficção,$ 5.00
Steve Jobs,Walter Isaacson,4.6,7827,20.0,2011,Não Ficção,$ 20.00
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12.0,2019,Não Ficção,$ 12.00
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16.0,2015,Não Ficção,$ 16.00
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4.0,2013,Não Ficção,$ 4.00
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,6669,12.0,2018,Não Ficção,$ 12.00
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10.0,2014,Não Ficção,$ 10.00
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10.0,2009,Ficção,$ 10.00
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5.0,2011,Ficção,$ 5.00
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10.0,2014,Não Ficção,$ 10.00
What Happened,Hillary Rodham Clinton,4.6,5492,18.0,2017,Não Ficção,$ 18.00
Baby Touch and Feel: Animals,DK,4.6,5360,5.0,2015,Não Ficção,$ 5.00
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20.0,2011,Ficção,$ 20.00
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5.0,2015,Não Ficção,$ 5.00
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17.0,2009,Não Ficção,$ 17.00
Cutting for Stone,Abraham Verghese,4.6,4866,11.0,2010,Ficção,$ 11.00
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16.0,2013,Não Ficção,$ 16.00
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21.0,2017,Não Ficção,$ 21.00
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32.0,2011,Não Ficção,$ 32.00
Sarah's Key,Tatiana de Rosnay,4.6,3619,10.0,2010,Ficção,$ 10.00
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6.0,2009,Não Ficção,$ 6.00
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13.0,2011,Não Ficção,$ 13.00
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6.0,2015,Não Ficção,$ 6.00
The Mueller Report,The Washington Post,4.6,2744,12.0,2019,Não Ficção,$ 12.00
The Amateur,Edward Klein,4.6,2580,9.0,2012,Não Ficção,$ 9.00
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12.0,2010,Ficção,$ 12.00
Decision Points,George W. Bush,4.6,2137,17.0,2010,Não Ficção,$ 17.00
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5.0,2015,Não Ficção,$ 5.00
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0.0,2010,Ficção,$ 0.00
11/22/63: A Novel,Stephen King,4.6,2052,22.0,2011,Ficção,$ 22.00
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11.0,2015,Não Ficção,$ 11.00
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13.0,2010,Não Ficção,$ 13.00
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15.0,2010,Não Ficção,$ 15.00
